Year,Housing Units,People Left Homeless,Minors Left Homeless,Area,Type of Structure,Demolish Scope,District,Demolition Reason,Demolition carried out by
2013,1,0,0,The West Bank (Excluding East Jerusalem),Residential Structure,,Bethlehem,Demolition on the pretext of unlawful construction,NA
2013,11,39,20,The West Bank (Excluding East Jerusalem),Residential Structure,,Hebron,Demolition on the pretext of unlawful construction,NA
2013,2,2,0,The West Bank (Excluding East Jerusalem),Residential Structure,,Jenin,Demolition on the pretext of unlawful construction,NA
2013,29,165,90,The West Bank (Excluding East Jerusalem),Residential Structure,,Jericho,Demolition on the pretext of unlawful construction,NA
2013,2,8,3,The West Bank (Excluding East Jerusalem),Residential Structure,,Nablus,Demolition on the pretext of unlawful construction,NA
2013,16,63,26,The West Bank (Excluding East Jerusalem),Residential Structure,,Ramallah and al-Bira,Demolition on the pretext of unlawful construction,NA
2013,1,0,0,The West Bank (Excluding East Jerusalem),Residential Structure,,Salfit,Demolition on the pretext of unlawful construction,NA
2013,97,181,85,The West Bank (Excluding East Jerusalem),Residential Structure,,Tubas,Demolition on the pretext of unlawful construction,NA
2013,60,224,126,East Jerusalem,Residential Structure,,East Jerusalem,Demolition on the pretext of unlawful construction,Authorities
2013,13,82,53,East Jerusalem,Residential Structure,,East Jerusalem,Demolition on the pretext of unlawful construction,Owners
2013,27,0,0,East Jerusalem,Non Residential Structure,,East Jerusalem,Demolition on the pretext of unlawful construction,Authorities
2012,14,83,52,The West Bank (Excluding East Jerusalem),Residential Structure,,Al-Quds,Demolition on the pretext of unlawful construction,NA
2012,4,21,8,The West Bank (Excluding East Jerusalem),Residential Structure,,Bethlehem,Demolition on the pretext of unlawful construction,NA
2012,18,121,63,The West Bank (Excluding East Jerusalem),Residential Structure,,Hebron,Demolition on the pretext of unlawful construction,NA
2012,10,23,13,The West Bank (Excluding East Jerusalem),Residential Structure,,Jericho,Demolition on the pretext of unlawful construction,NA
2012,12,31,11,The West Bank (Excluding East Jerusalem),Residential Structure,,Nablus,Demolition on the pretext of unlawful construction,NA
2012,3,19,11,The West Bank (Excluding East Jerusalem),Residential Structure,,Qalqiliya,Demolition on the pretext of unlawful construction,NA
2012,9,50,32,The West Bank (Excluding East Jerusalem),Residential Structure,,Ramallah and al-Bira,Demolition on the pretext of unlawful construction,NA
2012,11,59,37,The West Bank (Excluding East Jerusalem),Residential Structure,,Salfit,Demolition on the pretext of unlawful construction,NA
2012,17,119,47,The West Bank (Excluding East Jerusalem),Residential Structure,,Tubas,Demolition on the pretext of unlawful construction,NA
2012,14,61,31,East Jerusalem,Residential Structure,,East Jerusalem,Demolition on the pretext of unlawful construction,Authorities
2012,8,46,21,East Jerusalem,Residential Structure,,East Jerusalem,Demolition on the pretext of unlawful construction,Owners
2012,25,0,0,East Jerusalem,Non Residential Structure,,East Jerusalem,Demolition on the pretext of unlawful construction,Authorities
2012,2,0,0,East Jerusalem,Non Residential Structure,,East Jerusalem,Demolition on the pretext of unlawful construction,Owners
2011,23,128,73,The West Bank (Excluding East Jerusalem),Residential Structure,,Al-Quds,Demolition on the pretext of unlawful construction,NA
2011,1,10,6,The West Bank (Excluding East Jerusalem),Residential Structure,,Bethlehem,Demolition on the pretext of unlawful construction,NA
2011,26,211,97,The West Bank (Excluding East Jerusalem),Residential Structure,,Hebron,Demolition on the pretext of unlawful construction,NA
2011,33,183,85,The West Bank (Excluding East Jerusalem),Residential Structure,,Jericho,Demolition on the pretext of unlawful construction,NA
2011,43,148,60,The West Bank (Excluding East Jerusalem),Residential Structure,,Nablus,Demolition on the pretext of unlawful construction,NA
2011,7,45,30,The West Bank (Excluding East Jerusalem),Residential Structure,,Qalqiliya,Demolition on the pretext of unlawful construction,NA
2011,4,16,8,The West Bank (Excluding East Jerusalem),Residential Structure,,Ramallah and al-Bira,Demolition on the pretext of unlawful construction,NA
2011,20,112,48,The West Bank (Excluding East Jerusalem),Residential Structure,,Tubas,Demolition on the pretext of unlawful construction,NA
2011,8,48,22,East Jerusalem,Residential Structure,,East Jerusalem,Demolition on the pretext of unlawful construction,Authorities
2011,15,66,34,East Jerusalem,Residential Structure,,East Jerusalem,Demolition on the pretext of unlawful construction,Owners
2011,2,12,0,Gaza Strip,Residential Structure,Complete Demolition,Deir al-Balah,Demolition for alleged military purposes,
2010,5,34,24,The West Bank (Excluding East Jerusalem),Residential Structure,,Bethlehem,Demolition on the pretext of unlawful construction,NA
2010,3,27,21,The West Bank (Excluding East Jerusalem),Residential Structure,,Hebron,Demolition on the pretext of unlawful construction,NA
2010,3,37,24,The West Bank (Excluding East Jerusalem),Residential Structure,,Jericho,Demolition on the pretext of unlawful construction,NA
2010,19,133,47,The West Bank (Excluding East Jerusalem),Residential Structure,,Nablus,Demolition on the pretext of unlawful construction,NA
2010,1,5,3,The West Bank (Excluding East Jerusalem),Residential Structure,,Qalqiliya,Demolition on the pretext of unlawful construction,NA
2010,2,2,0,The West Bank (Excluding East Jerusalem),Residential Structure,,Ramallah and al-Bira,Demolition on the pretext of unlawful construction,NA
2010,2,7,5,The West Bank (Excluding East Jerusalem),Residential Structure,,Salfit,Demolition on the pretext of unlawful construction,NA
2010,50,142,60,The West Bank (Excluding East Jerusalem),Residential Structure,,Tubas,Demolition on the pretext of unlawful construction,NA
2010,14,100,54,East Jerusalem,Residential Structure,,East Jerusalem,Demolition on the pretext of unlawful construction,Authorities
2010,9,81,37,East Jerusalem,Residential Structure,,East Jerusalem,Demolition on the pretext of unlawful construction,Owners
2010,3,13,7,Gaza Strip,Residential Structure,Complete Demolition,Deir al-Balah,Demolition for alleged military purposes,
2010,9,25,16,Gaza Strip,Residential Structure,Complete Demolition,Khan Yunis,Demolition for alleged military purposes,
2010,1,0,0,Gaza Strip,Residential Structure,Partial Demolition,Khan Yunis,Demolition for alleged military purposes,
2010,1,6,4,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Herbon,Demolition for alleged military purposes,
2009,3,27,15,The West Bank (Excluding East Jerusalem),Residential Structure,,Al-Quds,Demolition on the pretext of unlawful construction,NA
2009,1,9,7,The West Bank (Excluding East Jerusalem),Residential Structure,,Ramallah and al-Bira,Demolition on the pretext of unlawful construction,NA
2009,24,182,40,The West Bank (Excluding East Jerusalem),Residential Structure,,Tubas,Demolition on the pretext of unlawful construction,NA
2009,44,245,138,East Jerusalem,Residential Structure,,East Jerusalem,Demolition on the pretext of unlawful construction,Authorities
2009,2,11,7,East Jerusalem,Residential Structure,,East Jerusalem,Demolition on the pretext of unlawful construction,Owners
2009,3,28,0,East Jerusalem,Residential Structure,Complete Demolition,East Jerusalem,Demolition of houses as punishment,
2008,11,64,39,The West Bank (Excluding East Jerusalem),Residential Structure,,Al-Quds,Demolition on the pretext of unlawful construction,NA
2008,7,66,40,The West Bank (Excluding East Jerusalem),Residential Structure,,Hebron,Demolition on the pretext of unlawful construction,NA
2008,2,9,6,The West Bank (Excluding East Jerusalem),Residential Structure,,Qalqiliya,Demolition on the pretext of unlawful construction,NA
2008,16,103,68,The West Bank (Excluding East Jerusalem),Residential Structure,,Ramallah and al-Bira,Demolition on the pretext of unlawful construction,NA
2008,8,34,7,The West Bank (Excluding East Jerusalem),Residential Structure,,Tubas,Demolition on the pretext of unlawful construction,NA
2008,73,300,161,East Jerusalem,Residential Structure,,East Jerusalem,Demolition on the pretext of unlawful construction,Authorities
2008,5,40,27,East Jerusalem,Residential Structure,,East Jerusalem,Demolition on the pretext of unlawful construction,Owners
2008,3,15,7,Gaza Strip,Residential Structure,Complete Demolition,Deir al-Balah,Demolition for alleged military purposes,
2008,3,12,5,Gaza Strip,Residential Structure,Complete Demolition,Gaza,Demolition for alleged military purposes,
2008,18,56,28,Gaza Strip,Residential Structure,Complete Demolition,Khan Yunis,Demolition for alleged military purposes,
2008,6,25,9,Gaza Strip,Residential Structure,Complete Demolition,North Gaza,Demolition for alleged military purposes,
2008,4,21,14,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Bethlehem,Demolition for alleged military purposes,
2008,3,14,9,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Qalqiliya,Demolition for alleged military purposes,
2008,3,13,2,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Tulkarm,Demolition for alleged military purposes,
2007,3,22,3,The West Bank (Excluding East Jerusalem),Residential Structure,,Al-Quds,Demolition on the pretext of unlawful construction,NA
2007,3,7,5,The West Bank (Excluding East Jerusalem),Residential Structure,,Bethlehem,Demolition on the pretext of unlawful construction,NA
2007,18,134,60,The West Bank (Excluding East Jerusalem),Residential Structure,,Hebron,Demolition on the pretext of unlawful construction,NA
2007,2,11,7,The West Bank (Excluding East Jerusalem),Residential Structure,,Jenin,Demolition on the pretext of unlawful construction,NA
2007,10,82,44,The West Bank (Excluding East Jerusalem),Residential Structure,,Jericho,Demolition on the pretext of unlawful construction,NA
2007,1,0,0,The West Bank (Excluding East Jerusalem),Residential Structure,,Qalqiliya,Demolition on the pretext of unlawful construction,NA
2007,2,11,7,The West Bank (Excluding East Jerusalem),Residential Structure,,Ramallah and al-Bira,Demolition on the pretext of unlawful construction,NA
2007,1,0,0,The West Bank (Excluding East Jerusalem),Residential Structure,,Salfit,Demolition on the pretext of unlawful construction,NA
2007,62,219,149,East Jerusalem,Residential Structure,,East Jerusalem,Demolition on the pretext of unlawful construction,Authorities
2007,1,0,0,East Jerusalem,Residential Structure,,East Jerusalem,Demolition on the pretext of unlawful construction,Owners
2007,7,16,14,Gaza Strip,Residential Structure,Complete Demolition,Deir al-Balah,Demolition for alleged military purposes,
2007,4,16,5,Gaza Strip,Residential Structure,Complete Demolition,Gaza,Demolition for alleged military purposes,
2007,1,8,2,Gaza Strip,Residential Structure,Complete Demolition,Khan Yunis,Demolition for alleged military purposes,
2007,2,12,4,Gaza Strip,Residential Structure,Complete Demolition,North Gaza,Demolition for alleged military purposes,
2007,1,3,1,Gaza Strip,Residential Structure,Complete Demolition,Rafah,Demolition for alleged military purposes,
2007,2,8,0,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Bethlehem,Demolition for alleged military purposes,
2007,16,62,20,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Nablus,Demolition for alleged military purposes,
2007,10,57,19,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Qalqiliya,Demolition for alleged military purposes,
2006,6,12,0,The West Bank (Excluding East Jerusalem),Residential Structure,,Al-Quds,Demolition on the pretext of unlawful construction,NA
2006,14,102,37,The West Bank (Excluding East Jerusalem),Residential Structure,,Bethlehem,Demolition on the pretext of unlawful construction,NA
2006,4,31,15,The West Bank (Excluding East Jerusalem),Residential Structure,,Hebron,Demolition on the pretext of unlawful construction,NA
2006,5,35,17,The West Bank (Excluding East Jerusalem),Residential Structure,,Jenin,Demolition on the pretext of unlawful construction,NA
2006,8,5,0,The West Bank (Excluding East Jerusalem),Residential Structure,,Qalqiliya,Demolition on the pretext of unlawful construction,NA
2006,6,0,0,The West Bank (Excluding East Jerusalem),Residential Structure,,Ramallah and al-Bira,Demolition on the pretext of unlawful construction,NA
2006,3,7,0,The West Bank (Excluding East Jerusalem),Residential Structure,,Salfit,Demolition on the pretext of unlawful construction,NA
2006,3,33,9,The West Bank (Excluding East Jerusalem),Residential Structure,,Tubas,Demolition on the pretext of unlawful construction,NA
2006,44,98,18,East Jerusalem,Residential Structure,,East Jerusalem,Demolition on the pretext of unlawful construction,Authorities
2006,6,25,0,Gaza Strip,Residential Structure,Complete Demolition,Deir al-Balah,Demolition for alleged military purposes,
2006,31,157,0,Gaza Strip,Residential Structure,Complete Demolition,Gaza,Demolition for alleged military purposes,
2006,27,120,0,Gaza Strip,Residential Structure,Complete Demolition,Khan Yunis,Demolition for alleged military purposes,
2006,94,585,0,Gaza Strip,Residential Structure,Complete Demolition,North Gaza,Demolition for alleged military purposes,
2006,158,"1,118",0,Gaza Strip,Residential Structure,Complete Demolition,Rafah,Demolition for alleged military purposes,
2006,2,0,0,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Jenin,Demolition for alleged military purposes,
2006,27,116,0,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Nablus,Demolition for alleged military purposes,
2006,5,15,0,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Qalqiliya,Demolition for alleged military purposes,
2006,5,14,0,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Tulkarm,Demolition for alleged military purposes,
2005,70,140,78,East Jerusalem,Residential Structure,,East Jerusalem,Demolition on the pretext of unlawful construction,Authorities
2005,5,28,0,Gaza Strip,Residential Structure,Complete Demolition,Khan Yunis,Demolition for alleged military purposes,
2005,1,4,0,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Jenin,Demolition for alleged military purposes,
2005,4,12,0,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Nablus,Demolition for alleged military purposes,
2005,2,7,0,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Ramallah and al-Bira,Demolition for alleged military purposes,
2005,5,23,0,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Tulkarm,Demolition for alleged military purposes,
2005,1,0,0,The West Bank (Excluding East Jerusalem),Residential Structure,Partial Demolition,Jenin,Demolition for alleged military purposes,
2005,1,0,0,The West Bank (Excluding East Jerusalem),Residential Structure,Partial Demolition,Nablus,Demolition for alleged military purposes,
2004,53,194,110,East Jerusalem,Residential Structure,,East Jerusalem,Demolition on the pretext of unlawful construction,Authorities
2004,27,138,0,Gaza Strip,Residential Structure,Complete Demolition,Deir al-Balah,Demolition for alleged military purposes,
2004,64,123,0,Gaza Strip,Residential Structure,Complete Demolition,Gaza,Demolition for alleged military purposes,
2004,408,"3,023",0,Gaza Strip,Residential Structure,Complete Demolition,Khan Yunis,Demolition for alleged military purposes,
2004,123,975,0,Gaza Strip,Residential Structure,Complete Demolition,North Gaza,Demolition for alleged military purposes,
2004,756,"6,325",0,Gaza Strip,Residential Structure,Complete Demolition,Rafah,Demolition for alleged military purposes,
2004,4,15,0,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Bethlehem,Demolition for alleged military purposes,
2004,9,44,0,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Herbon,Demolition for alleged military purposes,
2004,3,19,0,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Jenin,Demolition for alleged military purposes,
2004,9,36,0,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Jericho,Demolition for alleged military purposes,
2004,1,6,0,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Nablus,Demolition for alleged military purposes,
2004,50,214,0,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Bethlehem,Demolition of houses as punishment,
2004,9,57,0,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Herbon,Demolition of houses as punishment,
2004,24,105,0,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Jenin,Demolition of houses as punishment,
2004,26,150,0,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Nablus,Demolition of houses as punishment,
2004,3,27,0,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Qalqiliya,Demolition of houses as punishment,
2004,21,96,0,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Ramallah and al-Bira,Demolition of houses as punishment,
2004,8,27,0,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Salfit,Demolition of houses as punishment,
2004,11,61,0,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Talkum,Demolition of houses as punishment,
2004,4,24,0,Gaza Strip,Residential Structure,Complete Demolition,Deir al-Balah,Demolition of houses as punishment,
2004,6,50,0,Gaza Strip,Residential Structure,Complete Demolition,Gaza,Demolition of houses as punishment,
2004,2,10,0,Gaza Strip,Residential Structure,Complete Demolition,Khan Yunis,Demolition of houses as punishment,
2004,4,20,0,Gaza Strip,Residential Structure,Complete Demolition,Noth Gaza,Demolition of houses as punishment,
2004,8,66,0,Gaza Strip,Residential Structure,Complete Demolition,Rafah,Demolition of houses as punishment,
,,,,,,,,,
,,,,,,,,,
,"5,498","25,730","5,998",,,,,,
